meter_distribution,compromised_fraction,trial,J0,J1,L0,L1,percent_delta_J,perceived_load_drop_percent
paper,0.3,6,6.649733848666955,21.87319247444902,-7738.643473645836,-6616.723801256845,228.93335240528233,-112191967238899.08
paper,0.3,7,6.652082106208199,22.024794894649418,-7738.776553656015,-6597.632112248906,231.0962574273445,-114114444140710.84
paper,0.3,8,6.657777152882444,21.89965554455675,-7738.85311849869,-6612.069437326355,228.93344192326154,-112678368117233.45
paper,0.3,9,6.644342940514755,21.691064501585302,-7738.784942852948,-6648.006832788857,226.45913517379097,-109077811006409.12
paper,0.4,0,6.647633571527141,21.89393129097894,-7738.637200260235,-6600.953643635564,229.34924970524983,-113768355662467.1
paper,0.4,1,6.647206300025417,22.261143592118295,-7739.078749414947,-6576.331655055538,234.89473001662634,-116274709435940.89
paper,0.4,2,6.6505098866522,21.906121814457613,-7738.730884435465,-6595.777364323799,229.39010974818555,-114295352011166.6
paper,0.4,3,6.655241468523791,22.18150734417254,-7738.810958018427,-6560.012525460533,233.2938023222868,-117879843255789.45
paper,0.4,4,6.649881980131301,22.215096275927387,-7738.7267969861105,-6577.972497197756,234.06752694712867,-116075429978835.47
paper,0.4,5,6.649102974704629,22.04360514215281,-7738.744203114885,-6573.904063897742,231.52750417633658,-116484013921714.25
paper,0.4,6,6.653590248187834,22.034088958272505,-7738.847256939782,-6556.831213321116,231.16089413942632,-118201604361866.6
paper,0.4,7,6.6474135713700395,22.161246320380194,-7738.882017115995,-6580.6130226974765,233.3814886413444,-115826899441851.86
paper,0.4,8,6.650151553748266,22.179413021574423,-7738.818302238657,-6564.134144830973,233.51740696906828,-117468415740768.44
paper,0.4,9,6.650184381816956,21.93268284211771,-7739.096191982025,-6576.943061480936,229.80563519541525,-116215313050108.84
paper,0.5,0,6.65043324845403,22.220201677641178,-7738.698547864546,-6539.205424470578,234.11660334770698,-119949312339396.78
paper,0.5,1,6.652860350567883,22.275652335742926,-7738.95842489321,-6526.162670568072,234.8281966243511,-121279575432513.77
paper,0.5,2,6.651008517411839,22.382595224318894,-7738.991323782407,-6514.314725805583,236.5293423654916,-122467659797682.33
paper,0.5,3,6.649564520433091,22.161171139164786,-7738.945884932732,-6535.20363538609,233.27251838924047,-120374224954664.16
paper,0.5,4,6.65135958339357,22.179034957828534,-7738.860860368363,-6555.4401750911475,233.45114904331535,-118342068527721.58
paper,0.5,5,6.650187717044101,22.136392156146407,-7738.882792792567,-6565.508433781489,232.86868127664926,-117337435901107.78
paper,0.5,6,6.650735719419242,22.294599074836547,-7738.799053697313,-6520.716712537027,235.22004204345933,-121808234116028.6
paper,0.5,7,6.650340771868414,22.08194474464662,-7738.9768051894225,-6536.870349127024,232.04230432905612,-120210645606239.8
paper,0.5,8,6.652299871871506,22.293426062549546,-7738.9121565280675,-6530.613397796961,235.12358871275129,-120829875873110.62
paper,0.5,9,6.6526164931079945,22.32175306723081,-7738.89651427149,-6522.9644432198675,235.53344147157424,-121593207105162.2
paper,0.6,0,6.6535517034557365,22.235850356514096,-7738.789922396332,-6492.775808650427,234.1951990087518,-124601411374590.48
paper,0.6,1,6.652547975282122,22.671446338689833,-7738.585168895521,-6470.545944278425,240.7934286671323,-126803922461709.56
paper,0.6,2,6.651902931950643,22.544864892844423,-7738.915746046664,-6497.245767952876,238.9235399776532,-124166997809378.78
paper,0.6,3,6.64774205394212,22.512726019936594,-7738.606615688064,-6476.724698659503,238.6522196147264,-126188191702856.12
