topology,meter_distribution,compromised_fraction,trial_id,true_load,perceived_load_baseline,J_baseline,perceived_load_attack,J_attack,delta_J,perceived_load_drop_percent,success_flag
ACTIVSg500_real,paper,0.2,62,7750.66,7750.66,0.0,6282.349999999999,2289635.201157522,2289635.201157522,18.944322160951458,0
ACTIVSg500_real,paper,0.2,63,7750.66,7750.66,0.0,6200.528,2531585.1953012883,2531585.1953012883,19.999999999999993,0
ACTIVSg500_real,paper,0.2,64,7750.66,7750.66,0.0,6835.78,908383.9316007022,908383.9316007022,11.803897990622737,0
ACTIVSg500_real,paper,0.2,65,7750.66,7750.66,0.0,6200.528,2549627.8618936874,2549627.8618936874,19.999999999999993,0
ACTIVSg500_real,paper,0.2,66,7750.66,7750.66,0.0,6200.528,2519565.0005536387,2519565.0005536387,19.999999999999993,0
ACTIVSg500_real,paper,0.2,67,7750.66,7750.66,0.0,6200.528,2550134.8297645207,2550134.8297645207,19.999999999999993,0
ACTIVSg500_real,paper,0.2,68,7750.66,7750.66,0.0,6392.64,1961743.471188827,1961743.471188827,17.52134656919539,0
ACTIVSg500_real,paper,0.2,69,7750.66,7750.66,0.0,6200.528,2511280.9366984693,2511280.9366984693,19.999999999999993,0
ACTIVSg500_real,paper,0.2,70,7750.66,7750.66,0.0,6200.528,2530817.305429425,2530817.305429425,19.999999999999993,0
ACTIVSg500_real,paper,0.2,71,7750.66,7750.66,0.0,6200.528000000001,2495653.9510129313,2495653.9510129313,19.999999999999982,0
ACTIVSg500_real,paper,0.2,72,7750.66,7750.66,0.0,6200.528,2521966.85180312,2521966.85180312,19.999999999999993,0
ACTIVSg500_real,paper,0.2,73,7750.66,7750.66,0.0,6200.528,2519917.34306588,2519917.34306588,19.999999999999993,0
ACTIVSg500_real,paper,0.2,74,7750.66,7750.66,0.0,6404.26,1928082.1885791807,1928082.1885791807,17.371423852936392,0
ACTIVSg500_real,paper,0.2,75,7750.66,7750.66,0.0,6597.349999999999,1423366.155557013,1423366.155557013,14.880152141882117,0
ACTIVSg500_real,paper,0.2,76,7750.66,7750.66,0.0,6200.528,2571470.6661909637,2571470.6661909637,19.999999999999993,0
ACTIVSg500_real,paper,0.2,77,7750.66,7750.66,0.0,6200.528,2570074.7887572725,2570074.7887572725,19.999999999999993,0
ACTIVSg500_real,paper,0.2,78,7750.66,7750.66,0.0,6587.53,1450618.093621268,1450618.093621268,15.00685102946072,0
ACTIVSg500_real,paper,0.2,79,7750.66,7750.66,0.0,6270.0199999999995,2304335.8003504993,2304335.8003504993,19.103405387412174,0
ACTIVSg500_real,paper,0.2,80,7750.66,7750.66,0.0,6320.12,2171521.541449446,2171521.541449446,18.457008822474474,0
ACTIVSg500_real,paper,0.2,81,7750.66,7750.66,0.0,6200.528,2505987.883576082,2505987.883576082,19.999999999999993,0
ACTIVSg500_real,paper,0.2,82,7750.66,7750.66,0.0,6370.41,2034001.2959896,2034001.2959896,17.80816085339829,0
ACTIVSg500_real,paper,0.2,83,7750.66,7750.66,0.0,6576.53,1473672.8898276582,1473672.8898276582,15.148774426952029,0
ACTIVSg500_real,paper,0.2,84,7750.66,7750.66,0.0,6385.78,1970745.3794109558,1970745.3794109558,17.609855160721796,0
ACTIVSg500_real,paper,0.2,85,7750.66,7750.66,0.0,6200.528,2520153.713871933,2520153.713871933,19.999999999999993,0
ACTIVSg500_real,paper,0.2,86,7750.66,7750.66,0.0,6200.528000000001,2539627.0804597833,2539627.0804597833,19.999999999999982,0
ACTIVSg500_real,paper,0.2,87,7750.66,7750.66,0.0,6203.049999999999,2553252.735755096,2553252.735755096,19.967460835593364,0
